Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,Skip,Step,Comment,Tx Step,
37,443.12500,448.12500,5.00 MHz,Plus,FM,CLRK 3,Tone,94.8 Hz,88.5 Hz,023,On,25 kHz,Clark Tertiary Repeater - W7AIA,5 kHz,
38,147.24000,147.24000, ,Simplex,FM,CLRK 4,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Clark No-Repeater Simplex - (Talk-Around for Repeater.),5 kHz,
39,147.53000,147.53000, ,Simplex,FM,CLRK 5,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Clark Common Simplex,5 kHz,
40,442.37500,447.37500,5.00 MHz,Plus,FM,CLRK26,Tone,123.0 Hz,88.5 Hz,023,On,25 kHz,Clark Traffic Repeater - AB7F,5 kHz,
41,443.67500,448.67500,5.00 MHz,Plus,FM,CLRK27,Tone,107.2 Hz,88.5 Hz,023,On,25 kHz,Clark Traffic Repeater - KE7FUW,5 kHz,
44,144.99000,144.99000, ,Simplex,FM,CLRK46,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Packet BBS K7CLL-8 (1200Bd),5 kHz,
45,441.06000,441.06000, ,Simplex,FM,CLRK47,None,88.5 Hz,88.5 Hz,023,On,25 kHz,Packet BBS K7CLL-8 (9600Bd),5 kHz,
46,144.92000,144.92000, ,Simplex,FM,CLRK48,None,88.5 Hz,88.5 Hz,023,On,5 kHz,RMS K7YFJ-10 - KA7CTT-10 (1200Bd) / Clark Co. EOC: k7cll@winlink.org,5 kHz,
47,441.52500,441.52500, ,Simplex,FM,CLRK49,None,88.5 Hz,88.5 Hz,023,On,25 kHz,RMS K7YFJ-12 - K7GJT-12 (9600Bd),5 kHz,
48,144.94000,144.94000, ,Simplex,FM,CLRK50,None,88.5 Hz,88.5 Hz,023,On,5 kHz,RMS K7GJT-10 - KB7APU-10 (1200Bd),5 kHz,
49,145.03000,145.03000, ,Simplex,FM,CLRK51,None,88.5 Hz,88.5 Hz,023,On,5 kHz,RMS KC1Y-10 (1200 Bd),5 kHz,
50,146.88000,146.28000,600 kHz,Minus,FM,COL 1,Tone,114.8 Hz,88.5 Hz,023,Off,5 kHz,Columbia Primary Repeater,5 kHz,
51,444.62500,449.62500,5.00 MHz,Plus,FM,COL 2,Tone,107.2 Hz,88.5 Hz,023,On,25 kHz,Columbia Secondary Repeater,5 kHz,
52,146.50000,146.50000, ,Simplex,FM,COL 3,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Columbia Primary Simplex,5 kHz,
53,147.47000,147.47000, ,Simplex,FM,COL 4,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Columbia Secondary Simplex,5 kHz,
54,146.44000,146.44000, ,Simplex,FM,COL 5,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Columbia Tactical Simplex,5 kHz,
55,146.68000,146.08000,600 kHz,Minus,FM,COL 6,Tone,114.8 Hz,88.5 Hz,023,On,5 kHz,Columbia South County,5 kHz,
57,145.27000,144.67000,600 kHz,Minus,FM,COL 8,Tone,107.2 Hz,88.5 Hz,023,On,5 kHz,Timber Repeater (Clatsop - Tillamook Co. D1 link),5 kHz,
58,145.25000,144.65000,600 kHz,Minus,FM,COL 9,Tone,114.8 Hz,88.5 Hz,023,On,5 kHz,Vernonia Repeater,5 kHz,
61,144.92000,144.92000, ,Simplex,FM,COL 12,None,88.5 Hz,88.5 Hz,023,On,5 kHz,RMS KC7COL-10 / Columbia Co. EOC: kc7col@winlink.org,5 kHz,
63,146.84000,146.24000,600 kHz,Minus,FM,MC 1,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Multnomah Primary Repeater,5 kHz,
64,147.28000,147.88000,600 kHz,Plus,FM,MC 2,Tone,167.9 Hz,88.5 Hz,023,On,5 kHz,Multnomah Secondary Repeater,5 kHz,
65,146.94000,146.34000,600 kHz,Minus,FM,MC 3,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Multnomah Tertiary Repeater,5 kHz,
66,146.48000,146.48000, ,Simplex,FM,MC 4,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Multnomah Primary Simplex,5 kHz,
67,146.40000,146.40000, ,Simplex,FM,MC 5,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Multnomah Secondary Simplex,5 kHz,
68,147.04000,147.64000,600 kHz,Plus,FM,MC 6,Tone,100.0 Hz,88.5 Hz,023,On,5 kHz,Multnomah Delta Repeater,5 kHz,
69,147.56000,147.56000, ,Simplex,FM,MC 7,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Gresham Simplex,5 kHz,
70,147.58000,147.58000, ,Simplex,FM,MC 8,None,88.5 Hz,88.5 Hz,023,On,5 kHz,NET-Tac 1 Portland Bureau of Emergency Management,5 kHz,
71,146.46000,146.46000, ,Simplex,FM,MC 9,None,88.5 Hz,88.5 Hz,023,On,5 kHz,NET-Tac 2 Portland Bureau of Emergency Management,5 kHz,
72,145.07000,145.07000, ,Simplex,FM,MC 10,None,88.5 Hz,88.5 Hz,023,On,5 kHz,RMS K7MCE-10 / Multnomah Co. EOC: k7mce@winlink.org,5 kHz,
73,432.15000,432.15000, ,Simplex,FM,MC 11,None,88.5 Hz,88.5 Hz,023,On,25 kHz,Multnomah UHF Simplex,5 kHz,
74,147.28000,147.28000, ,Simplex,FM,MC 12,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Multnomah Resource Net Simplex if MC2 is off-line,5 kHz,
75,440.27500,445.27500,5.00 MHz,Plus,FM,MC 13,T Sql,151.4 Hz,151.4 Hz,023,On,25 kHz,Multnomah Portable UHF Repeater,5 kHz,
76,446.15000,446.15000, ,Simplex,FM,MC 14,Tone,151.4 Hz,88.5 Hz,023,On,25 kHz,Multnomah Crossband Repeater,5 kHz,
77,147.36000,147.96000,600 kHz,Plus,FM,WC 1,Tone,107.2 Hz,88.5 Hz,023,Off,5 kHz,Washington Primary Repeater  - Cooper Mountain,5 kHz,
78,146.90000,146.30000,600 kHz,Minus,FM,WC 2,Tone,127.3 Hz,88.5 Hz,023,On,5 kHz,Washington Secondary Repeater - Cedar Mill,5 kHz,
79,440.35000,445.35000,5.00 MHz,Plus,FM,WC 3,Tone,127.3 Hz,88.5 Hz,023,On,25 kHz,Washington Tertiary Repeater  - Stonehenge,5 kHz,
80,444.97500,449.97500,5.00 MHz,Plus,FM,WC 4,Tone,107.2 Hz,88.5 Hz,023,On,25 kHz,Intel Repeater,5 kHz,
81,147.40000,147.40000, ,Simplex,FM,WC 5,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Washington Alpha Simplex,5 kHz,
82,146.44000,146.44000, ,Simplex,FM,WC 6,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Washington Bravo Simplex,5 kHz,
83,147.44000,147.44000, ,Simplex,FM,WC 7,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Washington Charlie Simplex,5 kHz,
84,147.50000,147.50000, ,Simplex,FM,WC 8,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Washington Delta Simplex,5 kHz,
85,147.54000,147.54000, ,Simplex,FM,WC 9,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Washington Echo Simplex,5 kHz,
86,446.02500,446.02500, ,Simplex,FM,WC 10,None,88.5 Hz,88.5 Hz,023,On,25 kHz,Washington Foxtrot Simplex,5 kHz,
87,432.20000,432.20000, ,Simplex,FM,WC 11,None,88.5 Hz,88.5 Hz,023,On,25 kHz,Washington Golf Simplex,5 kHz,
88,144.91000,144.91000, ,Simplex,FM,WC 12,None,88.5 Hz,88.5 Hz,023,On,5 kHz,P-to-P Winlink,5 kHz,
89,144.98000,144.98000, ,Simplex,FM,WC 13,None,88.5 Hz,88.5 Hz,023,On,5 kHz,RMS WC7EOC-10 / Washington Co. EOC: wc7eoc@winlink.org,5 kHz,
90,145.04000,145.04000, ,Simplex,FM,WC 14,None,88.5 Hz,88.5 Hz,023,On,5 kHz,RMS N7AAM-10 FM VARA,5 kHz,
91,145.05000,145.05000, ,Simplex,FM,WC 15,None,88.5 Hz,88.5 Hz,023,On,5 kHz,RMS N7OGM-10 - K7TRP-10,5 kHz,
92,145.55000,145.55000, ,Simplex,FM,WC 16,None,88.5 Hz,88.5 Hz,023,On,5 kHz,RMS Relay Post Office KC7PMU-10,5 kHz,
93,441.07500,441.07500, ,Simplex,FM,WC 17,None,88.5 Hz,88.5 Hz,023,On,25 kHz,RMS K7CPU-10 Intel,5 kHz,
94,440.55000,445.55000,5.00 MHz,Plus,FM,WC 18,None,88.5 Hz,88.5 Hz,023,On,25 kHz,D-Star Repeater,5 kHz,
95,444.75000,449.75000,5.00 MHz,Plus,FM,WC 19,Tone,123.0 Hz,88.5 Hz,023,On,25 kHz,Beaverton CERT Repeater,5 kHz,
96,440.17500,445.17500,5.00 MHz,Plus,FM,WC 20,Tone,110.9 Hz,88.5 Hz,023,On,25 kHz,Tigard CERT Repeater,5 kHz,
97,147.32000,147.92000,600 kHz,Plus,FM,D1-1,Tone,100.0 Hz,88.5 Hz,023,Off,5 kHz,D-1 Primary Net Repeater  [OEM Monitored] - South Saddle,5 kHz,
98,146.84000,146.24000,600 kHz,Minus,FM,D1-2,None,88.5 Hz,88.5 Hz,023,On,5 kHz,D-1 Secondary / Multnomah Co. ARES Primary Repeater,5 kHz,
99,145.33000,144.73000,600 kHz,Minus,FM,OEM 1,Tone,186.2 Hz,88.5 Hz,023,On,5 kHz,OEM Oregon Emergency Management (Salem),5 kHz,
100,146.98000,146.38000,600 kHz,Minus,FM,RED C1,DCS,88.5 Hz,88.5 Hz,023,On,5 kHz,Red Cross Repeater (Portland) - KGW Tower,5 kHz,
101,147.42000,147.42000, ,Simplex,FM,RED CR,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Red Cross Simplex,5 kHz,
102,145.23000,144.63000,600 kHz,Minus,FM,HRT 1,None,88.5 Hz,88.5 Hz,023,On,5 kHz,HEART Net Primary Repeater,5 kHz,
103,442.70000,447.70000,5.00 MHz,Plus,FM,HRT 2,Tone,100.0 Hz,88.5 Hz,023,On,25 kHz,HEART Net Secondary Repeater,5 kHz,
104,146.60000,146.60000, ,Simplex,FM,HRTSIM,None,88.5 Hz,88.5 Hz,023,On,5 kHz,HEART Simplex,5 kHz,
105,147.02000,147.62000,600 kHz,Plus,FM,OEM 2,Tone,186.2 Hz,88.5 Hz,023,On,5 kHz,Oregon Emergency Management (OEM Salem),5 kHz,
106,144.99000,144.99000, ,Simplex,FM,OEM 3,None,88.5 Hz,88.5 Hz,023,On,5 kHz,RMS W7ODN-10 / OEM EOC: w7oem@winlink.org,5 kHz,
107,145.52000,145.52000, ,Simplex,FM,INTEL1,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Intel Emergency Amateur Radio Service (IEARS),5 kHz,
109,147.22000,147.82000,600 kHz,Plus,FM,TLMK 1,Tone,100.0 Hz,88.5 Hz,023,On,5 kHz,Tillamook Primary Repeater  [OEM Monitored]  - Mt Hebo,5 kHz,
110,147.16000,147.76000,600 kHz,Plus,FM,TLMK 2,Tone,118.8 Hz,88.5 Hz,023,On,5 kHz,Tillamook Central Repeater,5 kHz,
111,440.17500,445.17500,5.00 MHz,Plus,FM,TLMK 3,Tone,100.0 Hz,88.5 Hz,023,On,25 kHz,Tillamook North Repeater,5 kHz,
112,441.25000,446.25000,5.00 MHz,Plus,FM,TLMK 4,Tone,118.8 Hz,88.5 Hz,023,On,25 kHz,Tillamook South Repeater,5 kHz,
113,444.42500,449.42500,5.00 MHz,Plus,FM,TLMK 5,Tone,107.2 Hz,88.5 Hz,023,On,25 kHz,Tillamook Manzanita Repeater,5 kHz,
114,146.56000,146.56000, ,Simplex,FM,TLMK 6,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Tillamook North Simplex,5 kHz,
115,147.42000,147.42000, ,Simplex,FM,TLMK 7,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Tillamook Central Simplex,5 kHz,
116,147.50000,147.50000, ,Simplex,FM,TLMK 8,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Tillamook South Simplex,5 kHz,
117,144.95000,144.95000, ,Simplex,FM,TLMK 9,None,88.5 Hz,88.5 Hz,023,On,5 kHz, RMS KB7EOC-10 / Tillamook Co. EOC: kb7eoc@winlink.org,5 kHz,
118,145.45000,144.85000,600 kHz,Minus,FM,CLAT 1,Tone,118.8 Hz,88.5 Hz,023,On,5 kHz,Clatsop Primary Repeater  - Megler Mt -  NE of Astoria,5 kHz,
119,146.76000,146.16000,600 kHz,Minus,FM,CLAT 2,Tone,118.8 Hz,88.5 Hz,023,On,5 kHz,Clatsop Secondary Repeater,5 kHz,
120,145.49000,144.89000,600 kHz,Minus,FM,CLAT 3,Tone,118.8 Hz,88.5 Hz,023,On,5 kHz,Clatsop Tertiary Repeater,5 kHz,
121,146.58000,146.58000, ,Simplex,FM,CLAT 4,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Clatsop South Simplex,5 kHz,
122,147.58000,147.58000, ,Simplex,FM,CLAT 5,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Clatsop North Simplex,5 kHz,
123,146.40000,146.40000, ,Simplex,FM,CLAT 6,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Clatsop Seaside Simplex,5 kHz,
124,146.48000,146.48000, ,Simplex,FM,CLAT 7,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Cannon Beach / Arch Cape Simplex,5 kHz,
125,144.93000,144.93000, ,Simplex,FM,CLAT 8,None,88.5 Hz,88.5 Hz,023,On,5 kHz,RMS W7CLA-10 / Clatsop Co. EOC: w7cla@winlink.org  satellite link,5 kHz,
126,144.96000,144.96000, ,Simplex,FM,CLAT 9,None,88.5 Hz,88.5 Hz,023,On,5 kHz,RMS WA7VE-10 Seaside (1200Bd) satellite link,5 kHz,
127,145.37000,144.77000,600 kHz,Minus,FM,LINC 1,Tone,167.9 Hz,88.5 Hz,023,On,5 kHz,Lincoln Primary Repeater - Cape Foulweather,5 kHz,
128,147.04000,147.64000,600 kHz,Plus,FM,LINC 2,Tone,100.0 Hz,88.5 Hz,023,On,5 kHz,Lincoln Secondary Repeater,5 kHz,
129,147.00000,147.60000,600 kHz,Plus,FM,LINC 3,Tone,136.5 Hz,88.5 Hz,023,On,5 kHz,Lincoln Tertiary Repeater,5 kHz,
130,146.78000,146.18000,600 kHz,Minus,FM,LINC 4,Tone,156.7 Hz,88.5 Hz,023,On,5 kHz,Lincoln Alternate Repeater - Mary's Peak [OEM Monitored],5 kHz,
131,146.58000,146.58000, ,Simplex,FM,LINC 5,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Lincoln Primary Simplex,5 kHz,
132,145.09000,145.09000, ,Simplex,FM,LINC 6,None,88.5 Hz,88.5 Hz,023,On,5 kHz,RMS W7LCS-10 / Lincoln Co. EOC: w7lcs@winlink.org  / W7GC-10 Lincoln City,5 kHz,
133,144.95000,144.95000, ,Simplex,FM,LINC 7,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Alternate RMS Gateway Mt. Hebo W7GC-11,5 kHz,
135,441.80000,446.80000,5.00 MHz,Plus,FM,YMHL 1,Tone,114.8 Hz,88.5 Hz,023,On,25 kHz,Yamhill Primary Repeater W7YAM  - McMinnville - Eola Hill,5 kHz,
136,146.64000,146.04000,600 kHz,Minus,FM,YMHL 2,Tone,100.0 Hz,88.5 Hz,023,On,5 kHz,Yamhill Secondary Repeater W7RXJ,5 kHz,
137,442.55000,447.55000,5.00 MHz,Plus,FM,YMHL 3,Tone,100.0 Hz,88.5 Hz,023,On,25 kHz,Yamhill Tertiary Repeater K0INK,5 kHz,
138,146.40000,146.40000, ,Simplex,FM,YMHL 4,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Yamhill Primary Simplex,5 kHz,
139,147.52000,147.52000, ,Simplex,FM,YMHL 5,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Yamhill Secondary Simplex,5 kHz,
140,144.96000,144.96000, ,Simplex,FM,YAM-10,None,88.5 Hz,88.5 Hz,023,On,5 kHz,RMS W7YAM-10 Yamhill Gateway Eola Hill,5 kHz,
141,144.92000,144.92000, ,Simplex,FM,YAM-11,None,88.5 Hz,88.5 Hz,023,On,5 kHz,RMS W7YAM-11 Yamhill Gateway / Yamhill Co. EOC: w7yam@winlink.org,5 kHz,
142,147.02000,147.62000,600 kHz,Plus,FM,POLK 1,Tone,186.2 Hz,88.5 Hz,023,On,5 kHz,Polk Primary Repeater  [OEM Monitored] - Laurel Mt,5 kHz,
143,145.35000,144.75000,600 kHz,Minus,FM,POLK 2,Tone,186.2 Hz,88.5 Hz,023,On,5 kHz,Polk Secondary Repeater,5 kHz,
144,145.33000,144.73000,600 kHz,Minus,FM,POLK 3,Tone,186.2 Hz,88.5 Hz,023,On,5 kHz,Polk Tertiary Repeater,5 kHz,
145,146.50000,146.50000, ,Simplex,FM,POLK 4,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Polk Primary Simplex,5 kHz,
146,144.97000,144.97000, ,Simplex,FM,POLK 5,None,88.5 Hz,88.5 Hz,023,On,5 kHz,RMS W7PLK-10 Polk Gateway / Polk Co. EOC: w7plk@winlink.org,5 kHz,
148,145.29000,144.69000,600 kHz,Minus,FM,MARN 1,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Marion Primary Repeater  - WA7ABU - Silver Falls,5 kHz,
149,145.19000,144.59000,600 kHz,Minus,FM,MARN 2,Tone,100.0 Hz,88.5 Hz,023,On,5 kHz,Marion Secondary Repeater,5 kHz,
150,146.46000,146.46000, ,Simplex,FM,MARN 3,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Marion Primary Simplex,5 kHz,
151,145.07000,145.07000, ,Simplex,FM,MARN 4,None,88.5 Hz,88.5 Hz,023,On,5 kHz,RMS K7MAR-10 Marion Gateway / Marion Co. EOC: k7mar@winlink.org,5 kHz,
152,431.20000,431.20000, ,Simplex,FM,MARN 5,None,88.5 Hz,88.5 Hz,023,On,25 kHz,UHF Simplex,5 kHz,
153,147.20000,147.80000,600 kHz,Plus,FM,HOOD 1,Tone,100.0 Hz,88.5 Hz,023,On,5 kHz,Hood River Primary Repeater - Underwood Mt,5 kHz,
154,444.90000,449.90000,5.00 MHz,Plus,FM,HOOD 2,Tone,100.0 Hz,88.5 Hz,023,On,25 kHz,Hood River Secondary Repeater,5 kHz,
155,147.10000,147.70000,600 kHz,Plus,FM,HOOD 3,Tone,100.0 Hz,88.5 Hz,023,On,5 kHz,Hood River Tertiary Repeater,5 kHz,
156,147.50000,147.50000, ,Simplex,FM,HOOD 4,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Hood River Primary Simplex,5 kHz,
157,146.46000,146.46000, ,Simplex,FM,HOOD 5,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Hood River Secondary Simplex,5 kHz,
158,445.50000,445.50000, ,Simplex,FM,HOOD 6,None,88.5 Hz,88.5 Hz,023,On,25 kHz,Hood River UHF Simplex,5 kHz,
159,145.75000,145.75000, ,Simplex,FM,HOOD 7,None,88.5 Hz,88.5 Hz,023,On,5 kHz,RMS KA7HRC-10 gateway / Hood River EOC: ka7hrc@winlink.org,5 kHz,
160,440.75000,440.75000, ,Simplex,FM,HOOD 8,None,88.5 Hz,88.5 Hz,023,On,25 kHz,RMS KA7HRC-10 / gateway Hood River (1200 Bd),5 kHz,
161,146.40000,146.40000, ,Simplex,FM,SMPX01,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Seaside / Yamhill / LDS Primary / Multnomah Secondary,5 kHz,
162,146.42000,146.42000, ,Simplex,FM,SMPX02,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Clackamas Primary,5 kHz,
163,146.44000,146.44000, ,Simplex,FM,SMPX03,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Washington Co. Bravo / Columbia Tactical,5 kHz,
164,146.46000,146.46000, ,Simplex,FM,SMPX04,None,88.5 Hz,88.5 Hz,023,On,5 kHz,OR ARES State simplex / Marion Primary / PBEM NET-Tac 2,5 kHz,
165,146.48000,146.48000, ,Simplex,FM,SMPX05,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Multnomah Primary / Cannon Beach / Arch Cape,5 kHz,
166,146.50000,146.50000, ,Simplex,FM,SMPX06,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Polk Primary / Columbia Primary,5 kHz,
167,146.52000,146.52000, ,Simplex,FM,SMPX07,None,88.5 Hz,88.5 Hz,023,On,5 kHz,National VHF Simplex Calling Frequency,5 kHz,
168,146.54000,146.54000, ,Simplex,FM,SMPX08,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Clackamas East Primary,5 kHz,
169,146.56000,146.56000, ,Simplex,FM,SMPX09,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Oregon City ARES Primary,5 kHz,
170,146.58000,146.58000, ,Simplex,FM,SMPX10,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Lincoln Primary / Clatsop S. / Clackamas S. / Clark (pl 94.8),5 kHz,
171,146.60000,146.60000, ,Simplex,FM,SMPX11,None,88.5 Hz,88.5 Hz,023,On,5 kHz,HEART,5 kHz,
172,147.40000,147.40000, ,Simplex,FM,SMPX12,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Washington Co. Alpha,5 kHz,
173,147.42000,147.42000, ,Simplex,FM,SMPX13,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Tillamook County Central / Red Cross Primary,5 kHz,
174,147.44000,147.44000, ,Simplex,FM,SMPX14,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Washington Co. Charlie,5 kHz,
175,147.46000,147.46000, ,Simplex,FM,SMPX15,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Hood River Secondary,5 kHz,
176,147.48000,147.48000, ,Simplex,FM,SMPX16,None,88.5 Hz,88.5 Hz,023,On,5 kHz,Beaverton CERT Primary,5 kHz,
